"Year","Team","NHL Points","Winning_Percent","Population","Adjusted_Rev","Adjusted_Exp","Adjusted_Payroll","Adjusted_Payroll_(Million)","Adjusted_Income"
2017,"Minnesota Wild",106,0.6,3.575699,134.25,129.61,72441849.45,72.44,4.64
2017,"Montreal Canadiens",103,0.57,4.193207,227.93,139.08,71906784.66,71.91,88.85
2017,"Nashville Predators",94,0.5,1.874515,136.18,122.66,68370047.28,68.37,13.52
2017,"New Jersey Devils",70,0.34,19.322607,132.31,120.73,61216453.6,61.22,11.59
2017,"New York Islanders",94,0.5,19.322607,106.24,114.54,69095185.37,69.1,-8.31
2017,"New York Rangers",102,0.59,19.322607,237.59,146.8,70865914.96,70.87,90.79
2017,"Ottawa Senators",98,0.54,1.384897,130.38,120.73,73350213.33,73.35,9.66
2017,"Philadelphia Flyers",88,0.48,6.078522,164.19,139.08,72013739.29,72.01,25.11
2017,"Pittsburgh Penguins",111,0.61,2.329004,189.3,149.7,67941410.75,67.94,39.6
2017,"San Jose Sharks",99,0.56,1.992674,132.31,124.01,70876072.28,70.88,8.31
2017,"St. Louis Blues",99,0.56,2.805758,144.87,135.98,68258865.35,68.26,8.89
2017,"Tampa Bay Lightning",94,0.51,3.106922,119.76,121.5,53694112.65,53.69,-1.74
2017,"Toronto Maple Leafs",95,0.49,6.217328,203.78,130.38,60793072.96,60.79,73.4
2017,"Vancouver Canucks",69,0.37,2.616904,150.66,129.42,64152546.44,64.15,21.25
2017,"Washington Capitals",118,0.67,6.211341,141.01,125.55,71423640.32,71.42,15.45
2018,"Anaheim Ducks",101,0.54,13.249879,126.33,128.5,70401693.86,70.4,-2.17
2018,"Boston Bruins",112,0.61,4.859536,180.07,145.19,70900443.7,70.9,34.88
2018,"Buffalo Sabres",62,0.3,1.129777,120.67,115.68,60907503.12,60.91,5
2018,"Calgary Flames",84,0.45,1.483528,124.45,114.08,68986037.97,68.99,10.37
2018,"Carolina Hurricanes",83,0.44,1.36159,102.76,106.44,54561859.67,54.56,-3.68
2018,"Chicago Blackhawks",76,0.4,9.484158,189.5,135.76,63747192.36,63.75,53.74
2018,"Colorado Avalanche",95,0.52,2.931665,112.19,105.4,62595238.66,62.6,6.79
2018,"Columbus Blue Jackets",97,0.55,2.104194,104.65,106.25,70479960.74,70.48,-1.6
2018,"Dallas Stars",92,0.51,7.455756,135.76,122.56,70447612.42,70.45,13.2
2018,"Detroit Red Wings",73,0.37,4.322084,161.21,130.1,63087815.25,63.09,31.11
2018,"Edmonton Oilers",78,0.44,1.415351,136.7,116.9,59686969.51,59.69,19.8
2018,"Florida Panthers",96,0.54,6.143837,93.33,113.13,65317312.62,65.32,-19.8
2018,"Los Angeles Kings",98,0.55,13.249879,181.95,140.47,69632346.4,69.63,41.48
2018,"Minnesota Wild",101,0.55,3.610061,133.87,129.63,71025241.94,71.03,4.24
2018,"Montreal Canadiens",71,0.35,4.264846,225.32,129.16,57754759.57,57.75,96.16
2018,"Nashville Predators",117,0.65,1.904726,124.45,120.11,68200919.86,68.2,4.34
2018,"New Jersey Devils",97,0.54,19.276644,156.5,137.64,71124732.46,71.12,18.86
2018,"New York Islanders",80,0.43,19.276644,100.88,113.13,69182285.92,69.18,-12.26
2018,"New York Rangers",77,0.41,19.276644,238.52,137.64,64349611.07,64.35,100.88
2018,"Ottawa Senators",67,0.34,1.411032,116.9,115.4,58929073.88,58.93,1.51
2018,"Philadelphia Flyers",98,0.51,6.091208,175.36,140.47,70644748.45,70.64,34.88
2018,"Pittsburgh Penguins",100,0.57,2.322653,174.41,133.87,70113201.53,70.11,40.54
2018,"San Jose Sharks",100,0.55,1.993804,139.53,128.22,69735865.38,69.74,11.31
2018,"St. Louis Blues",94,0.54,2.803958,139.53,130.1,66323681.89,66.32,9.43
2018,"Tampa Bay Lightning",113,0.66,3.154649,137.64,130.76,73553866.1,73.55,6.88
2018,"Toronto Maple Leafs",105,0.6,6.33778,218.72,130.1,65712743.36,65.71,88.62
2018,"Vancouver Canucks",73,0.38,2.658582,158.39,123.5,66414653.54,66.41,34.88
2018,"Washington Capitals",105,0.6,6.247841,182.9,139.53,72906746.88,72.91,43.37
2019,"Buffalo Sabres",76,0.4,1.127983,125.01,123.25,72180578.81,72.18,1.76
2019,"Calgary Flames",107,0.61,1.514426,127.79,124.45,70973969.39,70.97,3.33
2019,"Carolina Hurricanes",99,0.56,1.390785,118.53,115.19,72583299.27,72.58,3.33
2019,"Chicago Blackhawks",84,0.44,9.458539,192.61,128.71,58071887.74,58.07,63.89
2019,"Colorado Avalanche",90,0.46,2.967239,120.38,112.14,68430672.11,68.43,8.24
2019,"Columbus Blue Jackets",98,0.57,2.122271,110.19,122.23,65528736.13,65.53,-12.04
2019,"Dallas Stars",93,0.52,7.573136,153.71,137.05,71065358.12,71.07,16.67
2019,"Detroit Red Wings",74,0.39,4.319629,169.46,140.75,68468609.92,68.47,28.71
2019,"Edmonton Oilers",79,0.43,1.442835,142.6,127.79,64122805.51,64.12,14.82
2019,"Florida Panthers",86,0.44,6.166488,97.23,116.67,75685202.79,75.69,-19.45
2019,"Los Angeles Kings",71,0.38,13.214799,187.98,137.97,73048190.7,73.05,50
2019,"Minnesota Wild",83,0.45,3.640043,137.97,127.79,72461530.66,72.46,10.19
2019,"Montreal Canadiens",96,0.54,4.334308,225.02,126.86,70292811.15,70.29,98.15
2019,"Nashville Predators",100,0.57,1.934317,125.01,135.19,67035776.52,67.04,-10.19
2019,"New Jersey Devils",72,0.38,19.216182,167.6,144.45,70276885.97,70.28,23.15
2019,"New York Islanders",103,0.59,19.216182,106.49,109.73,58048335.19,58.05,-3.24
2019,"New York Rangers",78,0.39,19.216182,250.02,136.12,63606418.85,63.61,113.9
2019,"Ottawa Senators",64,0.35,1.438015,117.6,114.27,68918425.31,68.92,3.33
2019,"Philadelphia Flyers",82,0.45,6.102434,173.16,136.12,64404126.83,64.4,37.04
2019,"Pittsburgh Penguins",100,0.54,2.3176,170.38,137.97,67973365.47,67.97,32.41
2019,"St. Louis Blues",99,0.55,2.803228,158.34,139.82,74353067.1,74.35,18.52
2019,"Tampa Bay Lightning",128,0.76,3.194831,129.64,122.97,74147814.93,74.15,6.67
2019,"Toronto Maple Leafs",100,0.56,6.462898,225.02,131.49,72445964.77,72.45,93.52
2019,"Vancouver Canucks",81,0.43,2.709277,154.64,125.93,70256450.3,70.26,28.71
2019,"Washington Capitals",104,0.59,6.280487,166.68,131.49,66597689.72,66.6,35.19
